Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
An's Big Fairy Floss Blue(An's 솜사탕 블루),An's 솜사탕 블루(An's Big Fairy Floss Blue),"Confectionaries, Kids",TRUE,112005371,10,shopify,0,deny,manual,6.50,6.50,TRUE,112005371,0,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
An's Big Fairy Floss Pink(An's 솜사탕 핑크),An's 솜사탕 핑크(An's Big Fairy Floss Pink),"Confectionaries, Kids",TRUE,112005372,10,shopify,0,deny,manual,6.50,6.50,TRUE,112005372,0,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
CJ 비비고 누들떡볶이120G(CJ BIBIGO NOODLE TTEOBOKKI 120G),CJ 비비고 누들떡볶이120G(CJ BIBIGO NOODLE TTEOBOKKI 120G),"Instant Foods, Cup Noodles",TRUE,6921524182949,,shopify,41,deny,manual,4.99,4.99,TRUE,6921524182949,2.5,active,O,O,,-,In stock,6 Left,5 Left,In stock,KS,
CJ BIBIGO 김말이 400G(CJ GIMMARI FRIED SEAWEED ROLL),CJ BIBIGO 김말이 400G(CJ GIMMARI FRIED SEAWEED ROLL),"Frozen Foods, New",TRUE,8801007371610,400,shopify,19,deny,manual,8.60,8.60,TRUE,8801007371610,5.33,active,O,O,O,-,2 Left,7 Left,4 Left,6 Left,KS,
CJ BiBiGo 김치 찐만두 700g(CJ Steamed Mandu Kimchi Dumplings 700g),CJ BiBiGo 김치 찐만두 700g(CJ Steamed Mandu Kimchi Dumplings 700g),Dumplings,TRUE,9360319000087,700,shopify,0,deny,manual,22.50,22.50,TRUE,9360319000087,13.25,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 왕교자(돼지고기) 700g(CJ Bibigo Mandu(Pork) 700g),CJ Bibigo 돼지고기 왕교자 700g(CJ Mandu Pork Dumplings 700g),"Dumplings, Mild",TRUE,9360319000049,700,shopify,11,deny,manual,22.50,22.50,TRUE,9360319000049,13.25,active,O,O,O,-,5 Left,Out of stock,3 Left,3 Left,KF,
CJ BiBiGo 돼지고기 찐만두 700g(CJ Steamed Mandu Pork Dumplings),CJ BiBiGo 돼지고기 찐만두 700g(CJ Steamed Mandu Pork Dumplings),Dumplings,TRUE,9360319000070,700,shopify,27,deny,manual,22.50,22.50,TRUE,9360319000070,13.25,active,O,O,O,-,6 Left,7 Left,7 Left,7 Left,KF,
CJ BIBIGO 돼지고기&김치 왕교자 700G(CJ MANDU PORK & KIMCHI 700G),CJ BIBIGO 돼지고기&김치 왕교자 700G(CJ MANDU PORK & KIMCHI 700G),"Dumplings, Special",TRUE,9360319000230,700,shopify,10,deny,manual,18.00,22.50,TRUE,9360319000230,10.63,active,O,O,O,Expiration date: 01/10/2025,3 Left,1 Left,6 Left,Out of stock,KS,
CJ 감자수제비가루 500g(CJ Potato Starch Flour 500g),CJ 감자수제비가루 500g(CJ Potato Starch Flour 500g),"Baking, Special",TRUE,8801007159232,500,shopify,3,deny,manual,5.04,7.20,TRUE,8801007159232,4.82,active,O,O,O,Expiration date: 23/07/2025,1 Left,Out of stock,1 Left,1 Left,KFBW,
CJ 김치치즈볶음밥 255g*2(CJ Kimchi Cheese Fried Rice 255g*2),CJ 김치치즈볶음밥 255g*2(CJ Kimchi Cheese Fried Rice 255g*2),"Frozen Foods, Rice",TRUE,8801007894430,510,shopify,0,deny,manual,14.90,14.90,TRUE,8801007894430,8.75,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
