Handle,Title,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail
[Support Merchandise] INFRESH “121879” Ball Cap,[Support Merchandise] INFRESH “121879” Ball Cap,"K Direct, Infresh",TRUE,Colour,Beige,Flag Colour,Black & White,,,shopify,0,deny,manual,43.00,43.00,TRUE,,43.00,active,,,
[Support Merchandise] INFRESH “121879” Ball Cap,[Support Merchandise] INFRESH “121879” Ball Cap,"K Direct, Infresh",TRUE,,Beige,,Coloured,,,shopify,0,deny,manual,43.00,43.00,TRUE,,44.00,active,,,
[Support Merchandise] INFRESH “121879” Ball Cap,[Support Merchandise] INFRESH “121879” Ball Cap,"K Direct, Infresh",TRUE,,Black,,Black & White,,,shopify,0,deny,manual,43.00,43.00,TRUE,,45.00,active,,,
[Support Merchandise] INFRESH “121879” Ball Cap,[Support Merchandise] INFRESH “121879” Ball Cap,"K Direct, Infresh",TRUE,,Black,,Coloured,,,shopify,0,deny,manual,43.00,43.00,TRUE,,46.00,active,,,
[Support Merchandise] INFRESH Signature Ball Cap,[Support Merchandise] INFRESH Signature Ball Cap,"K Direct, Infresh",TRUE,Colour,Cream,,,,,shopify,0,deny,manual,64.00,64.00,TRUE,,64.00,active,,,
[Support Merchandise] INFRESH Signature Ball Cap,[Support Merchandise] INFRESH Signature Ball Cap,"K Direct, Infresh",TRUE,,Black,,,,,shopify,0,deny,manual,64.00,64.00,TRUE,,65.00,active,,,
[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,"K Direct, Infresh",TRUE,Version,Ver.1,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,32.00,active,,,
[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,"K Direct, Infresh",TRUE,,Ver.2,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,33.00,active,,,
[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,"K Direct, Infresh",TRUE,,Ver.3,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,34.00,active,,,
[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,"K Direct, Infresh",TRUE,,Ver.4,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,35.00,active,,,
[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,[Support Merchandise] INFRESH Korean‑Flag Keyring “121879”,"K Direct, Infresh",TRUE,,Ver.5,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,36.00,active,,,
[Support Merchandise] INFRESH × Jadam Korean‑Flag Bracelet (Custom Initial Engraving Available),[Support Merchandise] INFRESH × Jadam Korean‑Flag Bracelet (Custom Initial Engraving Available),"K Direct, Infresh",TRUE,Engrave,Basic (Things to remember),,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,32.00,active,,,
[Support Merchandise] INFRESH × Jadam Korean‑Flag Bracelet (Custom Initial Engraving Available),[Support Merchandise] INFRESH × Jadam Korean‑Flag Bracelet (Custom Initial Engraving Available),"K Direct, Infresh",TRUE,,Initial,,,,,shopify,0,deny,manual,32.00,32.00,TRUE,,33.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,Colour,White,Size,M,,,shopify,0,deny,manual,32.00,32.00,TRUE,,32.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,White,,L,,,shopify,0,deny,manual,32.00,32.00,TRUE,,33.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,White,,XL,,,shopify,0,deny,manual,32.00,32.00,TRUE,,34.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,White,,XXL,,,shopify,0,deny,manual,32.00,32.00,TRUE,,35.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,Black,,M,,,shopify,0,deny,manual,32.00,32.00,TRUE,,36.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,Black,,L,,,shopify,0,deny,manual,32.00,32.00,TRUE,,37.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,Black,,XL,,,shopify,0,deny,manual,32.00,32.00,TRUE,,38.00,active,,,
[Support Merchandise] INFRESH T‑Shirt “121879”,[Support Merchandise] INFRESH T‑Shirt “121879”,"K Direct, Infresh",TRUE,,Black,,XXL,,,shopify,0,deny,manual,32.00,32.00,TRUE,,39.00,active,,,
[Support Merchandise] INFRESH “121879” Hoodie,[Support Merchandise] INFRESH “121879” Hoodie,"K Direct, Infresh",TRUE,Colour,White,Size,M,,,shopify,0,deny,manual,86.00,86.00,TRUE,,86.00,active,,,
