Handle,Title,Tags,Published,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Taxable,Variant Barcode,Cost per item,Status,Photo,Info,Detail,Expiration_date (product.metafields.custom.expiration_date),Stock Status CR (product.metafields.custom.stock_cr),Stock Status NB (product.metafields.custom.stock_nb),Stock Status IN (product.metafields.custom.stock_in),Stock Status BR (product.metafields.custom.stock_br),Wholesaler,
An's Big Fairy Floss Blue(An's 솜사탕 블루),An's 솜사탕 블루(An's Big Fairy Floss Blue),"Confectionaries, Kids",TRUE,112005371,10,shopify,0,deny,manual,6.50,6.50,TRUE,"=""112005371""",0.00,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
An's Big Fairy Floss Pink(An's 솜사탕 핑크),An's 솜사탕 핑크(An's Big Fairy Floss Pink),"Confectionaries, Kids",TRUE,112005372,10,shopify,0,deny,manual,6.50,6.50,TRUE,"=""112005372""",0.00,active,O,O,,-,Out of stock,Out of stock,Out of stock,Out of stock,,
Besties 달콤한 고구마빵 400G(Besties Sweet Potato Bread),Besties 달콤한 고구마빵 400G(Besties Sweet Potato Bread),"Frozen Foods, Snacks, New, Special",TRUE,8809913630258,400,shopify,16,deny,manual,19.25,27.50,TRUE,"=""8809913630258""",16.2,active,O,O,,-,4 Left,5 Left,4 Left,3 Left,JD,
CJ 비비고 누들떡볶이120G(CJ BIBIGO NOODLE TTEOBOKKI 120G),CJ  비비고 누들떡볶이120G(CJ BIBIGO NOODLE TTEOBOKKI 120G),"Instant Foods, Cup Noodles",TRUE,6921524182949,120,shopify,40,deny,manual,4.99,4.99,TRUE,"=""6921524182949""",2.5,active,O,O,,-,In stock,5 Left,In stock,In stock,KS,
CJ BIBIGO 김말이 400G(CJ GIMMARI FRIED SEAWEED ROLL),CJ BIBIGO 김말이 400G(CJ GIMMARI FRIED SEAWEED ROLL),Frozen Foods,TRUE,8801007371610,400,shopify,15,deny,manual,8.60,8.60,TRUE,"=""8801007371610""",5.33,active,O,O,O,-,4 Left,5 Left,4 Left,2 Left,KS,
CJ BiBiGo 김치 찐만두 700g(CJ Steamed Mandu Kimchi Dumplings 700g),CJ BiBiGo 김치 찐만두 700g(CJ Steamed Mandu Kimchi Dumplings 700g),Dumplings,True,9360319000087,700,shopify,0,deny,manual,22.50,22.50,True,"=""9360319000087""",13.25,active,O,O,O,-,Out of stock,Out of stock,Out of stock,Out of stock,KF,
CJ 비비고 왕교자(돼지고기) 700g(CJ Bibigo Mandu(Pork) 700g),CJ Bibigo 돼지고기 왕교자 700g(CJ Mandu Pork Dumplings 700g),"Dumplings, Mild",True,9360319000049,700,shopify,11,deny,manual,22.50,22.50,True,"=""9360319000049""",11.25,active,O,O,O,-,In stock,Out of stock,Out of stock,Out of stock,KF,
CJ BiBiGo 돼지고기 찐만두 700g(CJ Steamed Mandu Pork Dumplings),CJ BiBiGo 돼지고기 찐만두 700g(CJ Steamed Mandu Pork Dumplings),Dumplings,True,9360319000070,700,shopify,20,deny,manual,22.50,22.50,True,"=""9360319000070""",13.25,active,O,O,O,-,5 Left,4 Left,7 Left,4 Left,KF,
CJ BIBIGO 돼지고기&김치 왕교자 700G(CJ MANDU PORK & KIMCHI 700G),CJ BIBIGO 돼지고기&김치 왕교자 700G(CJ MANDU PORK & KIMCHI 700G),"Dumplings, Special",True,9360319000230,700,shopify,37,deny,manual,11.25,22.50,True,"=""9360319000230""",11.25,active,O,O,O,Expiration date: 01/10/2025,In stock,5 Left,In stock,8 Left,KS,
CJ BIBIGO 바오번 돼지고기 320G(CJ BAO Vege & PORK Buns),CJ BIBIGO 바오번 돼지고기 320G(CJ BAO Vege & PORK Buns),"Frozen Foods, New, Special",TRUE,6921524183816,320,shopify,20,deny,manual,7.28,9.10,TRUE,"=""6921524183816""",5.33,active,O,O,O,-,4 Left,3 Left,7 Left,6 Left,KS,
